arm,input_tokens,replicate,request_latency_s,end_to_end_output_rate_tps,client_ttft_s,native_prompt_ms,native_prompt_tps,native_decode_ms,native_decode_tps,engine_ttft_s,engine_decode_s,engine_decode_tps,output_tokens,finish_reason,cache_reused_tokens,input_token_ids_sha256,measurement_eligible
A_mixed_single_strix,512,1,10.167147216998274,12.589568860181258,,3477.673,147.22488284551193,6661.791,19.06394241428469,,,,128,limit,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
A_mixed_single_strix,2048,1,20.739352561999112,6.171841653077226,,14050.349,145.76150386015323,6687.659,18.99020270022739,,,,128,limit,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
A_mixed_single_strix,2048,2,20.760424323991174,6.165577254222138,,14067.623,145.58251952017764,6691.081,18.980490596362532,,,,128,limit,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
A_mixed_single_strix,512,2,10.138461376001942,12.625189883642506,,3490.563,146.68120873337625,6646.618,19.1074618700819,,,,128,limit,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
A_mixed_single_strix,512,3,10.143137703998946,12.619369246020966,,3482.299,147.02930449108476,6659.646,19.070082704095686,,,,128,limit,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
A_mixed_single_strix,2048,3,20.733451745996717,6.173598181726526,,14090.582,145.3453093704717,6641.117,19.123289049116284,,,,128,limit,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
B_original_tp2,512,1,39.19376070500584,3.2658259298820433,,,,,,2.0819669190095738,37.11120166699402,3.422147338143225,128,length,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
B_original_tp2,2048,1,45.525365601002704,2.811619375489008,,,,,,8.355700974992942,37.169024036003975,3.4168236399476286,128,length,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
B_original_tp2,2048,2,45.54729344700172,2.8102657768005304,,,,,,8.37892848100455,37.167722305995994,3.4169433078096376,128,length,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
B_original_tp2,512,2,39.334681843,3.2541257232204837,,,,,,2.0919602000067243,37.242132733998005,3.41011619573717,128,length,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
B_original_tp2,512,3,39.24446931100101,3.2616060873606725,,,,,,2.0734793130104663,37.17010556999594,3.4167242210502518,128,length,0,493f138f2b4a01b1b265a43cfd0dd2e93019734628c42f971ddf5baca2c13468,True
B_original_tp2,2048,3,45.969223684995086,2.784471647316088,,,,,,8.312089891012874,37.65636870999879,3.3726034758704193,128,length,0,a231a3eac529907d19c316a7cae51de6deedcb0dbbc4eea260e9bdfbbfecaa02,True
