0.00.210.201 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.210.407 W srv  llama_server: -----------------
0.00.210.409 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.210.409 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.210.409 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.210.409 W srv  llama_server: -----------------
0.00.211.580 I srv    load_model: loading model '/home/funboy/models/gguf/qwen38-flash-next-agenticrequant/trunk-q5k-00001-of-00003.gguf'
0.15.374.357 W read_raw_unsafe: Falling back to buffered IO due to Bad address
0.39.360.582 W read_raw_unsafe: Falling back to buffered IO due to Bad address
1.34.616.509 I cmn          init: llama threadpool init, n_threads = 16
1.35.299.148 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.35.299.183 W srv    load_model: LLAMA_TRACE = 1
1.35.308.167 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.35.308.219 I srv  llama_server: model loaded
1.35.308.224 I srv  llama_server: listening on http://127.0.0.1:18431
1.35.625.111 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.35.625.157 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.38.730.858 I slot print_timing: id  0 | task 0 | prompt eval time =    1016.80 ms /    71 tokens (   14.32 ms per token,    69.83 tokens per second)
1.38.730.861 I slot print_timing: id  0 | task 0 |        eval time =    2088.87 ms /    65 tokens (   32.64 ms per token,    30.64 tokens per second)
1.38.730.862 I slot print_timing: id  0 | task 0 |       total time =    3105.67 ms /   136 tokens
1.38.730.868 I slot print_timing: id  0 | task 0 |    graphs reused =         64
1.38.730.908 I slot      release: id  0 | task 0 | stop processing: n_tokens = 135, truncated = 0
1.38.761.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.662 (> 0.100 thold), f_keep = 0.378
1.38.822.981 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
1.40.891.133 I slot print_timing: id  0 | task 67 | prompt eval time =     614.82 ms /    77 tokens (    7.98 ms per token,   125.24 tokens per second)
1.40.891.137 I slot print_timing: id  0 | task 67 |        eval time =    1453.30 ms /    47 tokens (   31.59 ms per token,    31.65 tokens per second)
1.40.891.137 I slot print_timing: id  0 | task 67 |       total time =    2068.12 ms /   124 tokens
1.40.891.138 I slot print_timing: id  0 | task 67 |    graphs reused =        109
1.40.891.157 I slot      release: id  0 | task 67 | stop processing: n_tokens = 123, truncated = 0
1.40.906.235 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.646 (> 0.100 thold), f_keep = 0.415
1.40.965.125 I slot launch_slot_: id  0 | task 116 | processing task, is_child = 0
1.43.809.348 I slot print_timing: id  0 | task 116 | prompt eval time =     639.07 ms /    79 tokens (    8.09 ms per token,   123.62 tokens per second)
1.43.809.351 I slot print_timing: id  0 | task 116 |        eval time =    2205.12 ms /    71 tokens (   31.50 ms per token,    31.74 tokens per second)
1.43.809.352 I slot print_timing: id  0 | task 116 |       total time =    2844.20 ms /   150 tokens
1.43.809.353 I slot print_timing: id  0 | task 116 |    graphs reused =        178
1.43.809.372 I slot      release: id  0 | task 116 | stop processing: n_tokens = 149, truncated = 0
1.43.824.669 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.654 (> 0.100 thold), f_keep = 0.342
1.43.881.991 I slot launch_slot_: id  0 | task 189 | processing task, is_child = 0
1.47.623.164 I slot print_timing: id  0 | task 189 | n_gen =    100, tg =  31.82 t/s, tg_3s =  32.14 t/s
1.48.659.707 I slot print_timing: id  0 | task 189 | prompt eval time =     630.09 ms /    78 tokens (    8.08 ms per token,   123.79 tokens per second)
1.48.659.710 I slot print_timing: id  0 | task 189 |        eval time =    4147.60 ms /   133 tokens (   31.42 ms per token,    31.83 tokens per second)
1.48.659.711 I slot print_timing: id  0 | task 189 |       total time =    4777.69 ms /   211 tokens
1.48.659.712 I slot print_timing: id  0 | task 189 |    graphs reused =        309
1.48.659.730 I slot      release: id  0 | task 189 | stop processing: n_tokens = 210, truncated = 0
1.48.675.511 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.680 (> 0.100 thold), f_keep = 0.243
1.48.733.495 I slot launch_slot_: id  0 | task 324 | processing task, is_child = 0
1.50.459.832 I slot print_timing: id  0 | task 324 | prompt eval time =     614.08 ms /    75 tokens (    8.19 ms per token,   122.13 tokens per second)
1.50.459.835 I slot print_timing: id  0 | task 324 |        eval time =    1112.23 ms /    36 tokens (   31.78 ms per token,    31.47 tokens per second)
1.50.459.836 I slot print_timing: id  0 | task 324 |       total time =    1726.31 ms /   111 tokens
1.50.459.837 I slot print_timing: id  0 | task 324 |    graphs reused =        343
